Name,Price,Kilometers,Fuel
2017 Honda City ZX CVT Petrol [2017-2019],Rs. 6.1 Lakh,"71,132",Petrol
2017 Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],Rs. 17 Lakh,"1,01,500 ",Diesel
2021 BMW X3 xDrive 30i Luxury Line [2018-2019],Rs. 38.9 Lakh,"55,000",Petrol
2008 Hummer H2 SUV,Rs. 98 Lakh,"35,000",Petrol
2023 Hyundai Creta SX 1.5 Petrol CVT,Rs. 13.75 Lakh,"48,100",Petrol
2015 Honda City SV CVT,Rs. 5.11 Lakh,"60,804",Petrol
2022 Hyundai Creta S Plus 1.5 Petrol Knight Dual Tone,Rs. 11.9 Lakh,"27,000",Petrol
2021 Tata Harrier XZA Plus,Rs. 14 Lakh,"90,687",Diesel
2015 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2016-2017],Rs. 4.25 Lakh,"53,263",Petrol
2023 Jeep Meridian Limited (O) 4X4 AT [2022],Rs. 25.9 Lakh,"40,000",Diesel
2022 Mahindra Thar LX Convertible Top Diesel AT 4WD,Rs. 12.9 Lakh,"21,000",Diesel
2022 Maruti Suzuki Ciaz Zeta Hybrid  1.5 [2018-2020],Rs. 7 Lakh,"82,000",Petrol
2016 Honda Jazz V Petrol,Rs. 3.9 Lakh,"55,000",Petrol
2021 Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],Rs. 14.9 Lakh,"51,000",Petrol
2023 Kia Seltos HTX 1.5 Diesel AT,Rs. 16 Lakh,"51,680",Diesel
2018 Audi A6 35 TDI Matrix,Rs. 23.9 Lakh,"69,000",Diesel
2018 Hyundai Creta SX 1.6 CRDi,Rs. 10.5 Lakh,"68,297",Diesel
2015 Maruti Suzuki Ciaz VXi+,Rs. 5.11 Lakh,"76,753",Petrol
2017 Maruti Suzuki Baleno Zeta 1.2 AT,Rs. 5.5 Lakh,"56,051",Petrol
2019 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],Rs. 16 Lakh,"1,15,757 ",Diesel
2013 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],Rs. 3.25 Lakh,"90,374",Petrol
2018 Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,Rs. 4.5 Lakh,"61,526",Petrol
2015 Hyundai i20 Active 1.2 Base,Rs. 4.6 Lakh,"70,818",Petrol
2017 Honda Jazz S Petrol,Rs. 4.5 Lakh,"74,110",Petrol
2022 Hyundai Creta SX (O) 1.5 Diesel AT,Rs. 15.9 Lakh,"40,745",Diesel
2018 Maruti Suzuki Ciaz Alpha 1.4 MT,Rs. 6 Lakh,"76,409",Petrol
2021 Hyundai Alcazar Platinum 7 STR 1.5 Diesel,Rs. 17.25 Lakh,"17,926",Diesel
2023 Hyundai Creta SX 1.5 Petrol CVT,Rs. 13.5 Lakh,"48,242",Petrol
2018 Maruti Suzuki Swift ZXi AMT [2018-2019],Rs. 5.2 Lakh,"60,203",Petrol
2021 Hyundai Creta E 1.5 Diesel [2020-2022],Rs. 10.9 Lakh,"61,870",Diesel
2019 Maruti Suzuki Alto VXI,Rs. 3.25 Lakh,"54,647",Petrol
2021 Toyota Fortuner 4X2 2WD Diesel Turbo Automatic Dual Tone,Rs. 32.5 Lakh,"88,000",Diesel
2018 Ford Endeavour Titanium 3.2 4x4 AT,Rs. 21.75 Lakh,"1,16,000 ",Diesel
2017 Audi Q3 30 TDI Premium FWD,Rs. 18.9 Lakh,"68,000",Diesel
2020 BMW X4 xDrive30i M Sport X,Rs. 39.9 Lakh,"67,000",Petrol
2016 Hyundai Grand i10 Sportz (O) U2 1.2 CRDi [2017-2018],Rs. 3.8 Lakh,"60,000",Diesel
2013 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],Rs. 3.25 Lakh,"90,221",Petrol
2023 MG Hector Plus Sharp Pro 2.0 Turbo Diesel 7 STR [2023],Rs. 17.9 Lakh,"11,300",Diesel
