o-o,o-j1,o-j5
2021 Maruti Suzuki Ertiga ZXi Plus,"54,000 km  |  Petrol  |  Byatarayanapura, Bangalore",Rs. 10.95 Lakh
2024 Volkswagen Taigun GT Plus 1.5 TSI DSG,"4,719 km  |  Petrol  |  Banaswadi, Bangalore",Rs. 19 Lakh
2022 Tata Harrier XZA Plus,"46,000 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 17.5 Lakh
2023 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],"40,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 16.75 Lakh
2016 BMW 3-Series 320d Sport Line [2016-2018],"52,396 km  |  Diesel  |  Yelahanka, Bangalore",Rs. 21.5 Lakh
2019 Maruti Suzuki DZire VXi,"40,472 km  |  Petrol  |  Nayanda Halli, Bangalore",Rs. 6.25 Lakh
2019 MG Hector Sharp 1.5 DCT Petrol Dual Tone,"59,000 km  |  Petrol  |  Anand Nagar, Bangalore",Rs. 12.5 Lakh
2023 Mahindra XUV700 AX 7 Diesel AT 7 STR [2023-2024],"25,925 km  |  Diesel  |  Banaswadi, Bangalore",Rs. 22.75 Lakh
2017 Hyundai Eon Magna +,"16,574 km  |  Petrol  |  1st phase Girinagar, Bangalore",Rs. 3.5 Lakh
2024 Maruti Suzuki Wagon R ZXI Plus 1.2 [2023-2025],"18,000 km  |  Petrol  |  Nayanda Halli, Bangalore",Rs. 6.75 Lakh
2023 BMW 5-Series 530i M Sport,"33,000 km  |  Petrol  |  Hebbal, Bangalore",Rs. 57.25 Lakh
2024 Maruti Suzuki Wagon R ZXI Plus 1.2 [2023-2025],"19,000 km  |  Petrol  |  Nayanda Halli, Bangalore",Rs. 6.75 Lakh
2016 Renault Duster 110 PS RxZ AWD,"57,110 km  |  Diesel  |  1st phase Girinagar, Bangalore",Rs. 8 Lakh
2022 Volkswagen Taigun Highline 1.0 TSI MT,"18,000 km  |  Petrol  |  Anand Nagar, Bangalore",Rs. 12.5 Lakh
2018 Hyundai Verna SX 1.6 CRDi,"60,335 km  |  Diesel  |  1st phase Girinagar, Bangalore",Rs. 9 Lakh
2023 Maruti Suzuki Wagon R VXI 1.0 CNG,"33,548 km  |  CNG  |  1st phase Girinagar, Bangalore",Rs. 5.75 Lakh
2022 Hyundai Verna S Plus 1.5 CRDi,"57,000 km  |  Diesel  |  Adugodi, Bangalore",Rs. 9.9 Lakh
2022 Maruti Suzuki Baleno Zeta MT [2022-2023],"27,000 km  |  Petrol  |  Adugodi, Bangalore",Rs. 7.31 Lakh
2017 Mahindra XUV500 W6 AT,"69,880 km  |  Diesel  |  Singasandra, Bangalore",Rs. 9.95 Lakh
2021 Jeep Compass Limited Plus Diesel [2018-2020],"53,105 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 18 Lakh
2022 Kia Seltos HTX 1.5 [2020-2021],"25,278 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 15.5 Lakh
2018 Hyundai Creta SX 1.6 AT Petrol,"72,874 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 10.5 Lakh
2023 Hyundai Venue N Line N6 MT,"7,348 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 11.99 Lakh
2018 Honda BR-V V CVT Petrol,"20,909 km  |  Petrol  |  Adugodi, Bangalore",Rs. 9.11 Lakh
2022 Maruti Suzuki S-Cross Zeta,"35,410 km  |  Petrol  |  Begur, Bangalore",Rs. 9.49 Lakh
2021 Hyundai Elite i20 Asta 1.2 IVT,"31,954 km  |  Petrol  |  Kothanur, Bangalore",Rs. 8.25 Lakh
2018 Mahindra XUV500 W11 AT,"85,713 km  |  Diesel  |  Kothanur, Bangalore",Rs. 13.95 Lakh
2016 Hyundai Creta 1.6 S Petrol,"71,260 km  |  Petrol  |  Kothanur, Bangalore",Rs. 7.69 Lakh
2015 Hyundai i20 Active 1.2 S,"31,514 km  |  Petrol  |  Kothanur, Bangalore",Rs. 5.49 Lakh
2021 Skoda Kushaq Style 1.5L TSI DSG (6 Airbags),"40,859 km  |  Petrol  |  Kothanur, Bangalore",Rs. 14.89 Lakh
