Brand,Model,Features
Maruti Suzuki,Grand Vitara,Zeta Plus Intelligent Hybrid eCVT [2022-2023]
Hyundai,Alcazar,Platinum (O) 7 Seater 1.5 Diesel AT
BMW,7-Series,740i M Sport
Kia,Sonet,GTX Plus 1.5 Diesel AT
Mercedes-Benz,GLA,200 d Style
Audi,Q3,30 TFSI Premium
Mercedes-Benz,GLC,220d 4MATIC Progressive
Kia,Carnival,Prestige 9 STR
BMW,X1,sDrive20i xLine
BMW,5-Series,523i Sedan
Honda,City,1.5 S AT
Audi,A6,2.0 TDI Technology Pack
Lexus,NX,300h Luxury [2017-2020]
Mercedes-Benz,B-class,B180 CDI
Hyundai,Elite i20,Magna 1.4 AT [2016-2017]
Mercedes-Benz,C-Class,C 200 Avantgarde
Jaguar,XF,2.2 Diesel Luxury
Jaguar,XE,Prestige Diesel
Toyota,Glanza,G
Volkswagen,Tiguan,AllSpace 2.0 TSI
Mercedes-Benz,C-Class,C 200 Avantgarde
Mercedes-Benz,GLE,250 d
Honda,City,V Diesel
Honda,Accord,2.4 AT
Hyundai,Verna,Fluidic 1.6 VTVT SX
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG
Toyota,Urban Cruiser,Mid Grade AT
Hyundai,i20,Asta 1.2
Land Rover,Discovery Sport,SE R-Dynamic Petrol
Tata,Tiago,Revotron XT [2016-2019]
Mercedes-Benz,S-Class,S 350d
Kia,Sonet,HTX 1.0 iMT [2020-2021]
Jaguar,F-Pace,S R-Dynamic 2.0 Diesel [2021-2023]
Tata,Nexon,EV XZ Plus LUX
Land Rover,Range Rover Evoque,SE R-Dynamic Diesel
Nissan,Kicks,XV Premium Turbo 1.3
Maruti Suzuki,S-Cross,Delta 1.3
BMW,7-Series,730d Sedan
Jaguar,F-Pace,Prestige
Land Rover,Discovery Sport,SE R-Dynamic
Toyota,Innova Crysta,G 2.4 7 STR
BMW,7-Series,730Ld
Audi,Q3,30 TFSI Premium
Volvo,XC60,Inscription [2017-2020]
Mercedes-Benz,GLE,Coupe 43 4MATIC [2017-2019]
Land Rover,Range Rover Velar,HSE Dynamic 2.0 Diesel
Tata,Nexon,XMA Petrol
Tata,Tiago,XZ Plus [2020-2023]
Hyundai,i10,Sportz 1.2 AT Kappa2
Toyota,Innova Crysta,2.8 GX AT 7 STR [2016-2020]
Mini,Cooper,D 3 Door
BMW,3-Series,320d Luxury Line
Land Rover,Discovery Sport,SE R-Dynamic Petrol
Hyundai,Elite i20,Asta 1.2 CVT
Honda,City,VX CVT
Honda,City,V
Tata,Altroz,XZ Plus i-Turbo Petrol Dark Edition [2021-2023]
Mini,Cooper,1.6
BMW,7-Series,730Ld Sedan
Volkswagen,Ameo,Highline1.2L (P) [2016-2018]
Audi,Q3,30 TDI Premium FWD
Toyota,Innova,Hyrcross VX (O) Hybrid 7 STR
Mercedes-Benz,GLS,350 d
Mahindra,XUV500,W10
BMW,X1,sDrive20d xLine
Skoda,Superb,L&K TSI AT
Volkswagen,Polo,GT TSI
Maruti Suzuki,Vitara Brezza,ZDi
Volkswagen,Polo,Comfortline 1.2L (P)
Toyota,Innova Crysta,2.4 V Diesel
Tata,Safari,XZA Plus
Mercedes-Benz,GLE,250 d
Hyundai,Elite i20,Asta 1.2
Isuzu,MU-X,4x2
Maruti Suzuki,Celerio,ZXi AMT ABS
Hyundai,Verna,E 1.4 VTVT
Maruti Suzuki,Wagon R,VXi
Maruti Suzuki,Wagon R,VXi
Maruti Suzuki,Baleno,Zeta Automatic
Mercedes-Benz,GLE,300d 4MATIC LWB [2020-2023]
BMW,5-Series,525i Sedan
Ford,Ecosport,Titanium 1.5L TDCi
Hyundai,Elite i20,Sportz 1.2 (O)
Volkswagen,Vento,Comfortline Diesel AT
Tata,Tiago,XZ Plus CNG [2022-2023]
Ford,Ecosport,Titanium 1.5 Ti-VCT AT
Mercedes-Benz,E-Class,E 220 d Avantgarde
Mercedes-Benz,EQS,580 4MATIC
Audi,A6,2.0 TDI Premium Plus
Mercedes-Benz,GLS,400d 4MATIC [2020-2023]
Honda,Jazz,Select Edition Old
Toyota,Etios,VXD
Honda,Civic,1.8V MT
Hyundai,Creta,E Plus 1.4 CRDI
Toyota,Innova,2.5 VX BS IV 8 STR
Mahindra,XUV300,1.2 W6 [2019-2019]
Honda,Jazz,VX CVT Petrol
Volkswagen,Vento,Highline Plus 1.2 (P) AT 16 Alloy
Ford,Ecosport,Titanium 1.5 Ti-VCT AT
Maruti Suzuki,Baleno,Delta 1.2 AT
Hyundai,Aura,S 1.2 Petrol
Land Rover,Discovery Sport,HSE 7-Seater
Jaguar,XF,2.2 Diesel Luxury
Ford,Ecosport,Titanium 1.5L Ti-VCT AT
Mahindra,XUV500,W8
Maruti Suzuki,Wagon R,ZXi 1.2
Honda,City,1.5 V AT
Mahindra,Marazzo,M6 Plus 7 STR [2020]
Mahindra,XUV700,AX 7 Diesel AT 7 STR [2023-2024]
Maruti Suzuki,DZire,VXi
Hyundai,Santro,Asta [2018-2020]
Mercedes-Benz,GLC,220d 4MATIC Progressive
Mercedes-Benz,E-Class,E250 CDI BlueEfficiency
Land Rover,Discovery Sport,SE 7-Seater
Jeep,Meridian,Overland 4x2 AT
Volkswagen,Polo,Highline1.2L (P)
Hyundai,Grand i10,Magna 1.2 Kappa VTVT [2016-2017]
Mercedes-Benz,EQS,580 4MATIC
Mahindra,NuvoSport,N8 AMT
Mercedes-Benz,EQE,SUV 500 4MATIC
Toyota,Urban Cruiser Hyryder,V Hybrid [2022-2023]
Toyota,Urban Cruiser Hyryder,V Hybrid [2023-2025]
Nissan,Terrano,XV D THP 110 PS
Honda,City,Hybrid eHEV ZX eHEV
Mercedes-Benz,GLC,220d 4MATIC
Mercedes-Benz,GLS,400d 4MATIC [2020-2023]
Hyundai,Santro,Magna CNG
Audi,e-tron,55 [2021-2024]
BMW,X1,sDrive20d Expedition
BMW,7-Series,740 Li M Sport
Mercedes-Benz,A-Class Limousine,200
Tata,Tigor,XZA Plus iCNG [2024-2025]
Mercedes-Benz,EQB,350 4MATIC
Tata,Altroz,XZA Plus Petrol [2022-2023]
Toyota,Fortuner,3.0 4x4 MT
Toyota,Corolla Altis,1.8 G
Maruti Suzuki,Baleno,Zeta 1.2
Toyota,Innova,2.5 GX 8 STR BS-IV
Land Rover,Discovery Sport,HSE 7-Seater
Audi,A4,35 TDI Premium Plus
